key	qty	dates
acc11	1	20200909
acc11	1	20200910
acc11	1	20200913
acc11	1	20200916
acc11	1	20200921
acc11	1	20200928
acc11	1	20200929
acc13	1	20200901
acc13	3	20200902
acc13	2	20200903
acc13	2	20200904
acc13	1	20200905
acc13	1	20200908
acc13	1	20200909
acc13	2	20200912
acc13	3	20200913
acc13	1	20200914
acc13	2	20200915
acc13	1	20200919
acc13	1	20200920
acc13	1	20200921
acc13	1	20200923
acc13	1	20200924
acc13	2	20200927
acc13	1	20200928
acc13	1	20200930
acc14	12.3	20200904
acc14	0.6	20200902
acc14	31.6	20200915
acc14	12.3	20200904
acc14	31.6	20200915
acc14	2	20200919
acc14	15	20200912
acc14	8	20200930
acc14	15	20200912
acc14	4	20200913
acc14	4	20200920
acc14	4	20200929
acc14	5	20200901
acc14	5	20200909
acc14	8	20200930
acc14	53	20200908
acc14	15	20200912
acc14	10	20200906
acc14	31.6	20200915
acc14	12.3	20200904
acc14	53	20200908
acc14	31.6	20200915
acc14	23	20200926
acc14	30	20200907
acc14	53	20200908
acc14	60	20200924
acc15	0.45	20200928
acc15	22	20200904
acc15	2	20200921
acc15	2	20200922
acc15	3	20200914
acc15	4	20200907
acc15	5	20200911
acc15	5	20200930
acc15	19	20200913
acc15	22	20200915
acc15	22	20200915
acc15	19	20200913
acc15	22	20200904
acc16	0.3	20200919
acc16	0.3	20200926
acc16	14.45	20200921
acc16	1	20200902
acc16	5	20200904
acc16	1	20200905
acc16	51	20200920
acc16	6	20200922
acc16	1	20200925
acc16	1	20200930
acc16	5	20200904
acc16	2	20200915
acc16	2	20200924
acc16	3	20200908
acc16	3	20200927
acc16	4	20200901
acc16	14.45	20200921
acc16	5	20200913
acc16	6	20200922
acc16	14.45	20200921
acc16	51	20200920
acc17	1.6	20200901
acc17	10.6	20200925
acc17	1.6	20200901
acc17	7	20200909
acc17	1	20200912
acc17	1	20200915
acc17	1	20200920
acc17	1	20200927
acc17	7	20200928
acc17	2	20200902
acc17	2	20200918
acc17	4	20200906
acc17	8	20200908
acc17	5	20200923
acc17	6	20200914
acc17	7	20200928
acc17	10.6	20200925
acc18	0.3	20200909
acc18	3.9	20200905
acc18	0.6	20200911
acc18	0.6	20200923
acc18	1	20200901
acc18	2	20200913
acc18	2	20200916
acc18	2	20200902
acc18	2	20200926
acc18	3	20200903
acc18	3.9	20200905
acc18	3	20200921
acc18	4	20200927
acc18	4	20200930
acc18	6	20200922
acc18	8	20200918
acc18	10	20200925
acc19	3.9	20200903
acc19	0.45	20200924
acc19	1.2	20200925
acc19	0.75	20200926
acc19	2.3	20200901
acc19	1.3	20200904
acc19	0.3	20200914
acc19	3.9	20200903
acc19	1.2	20200925
acc19	1.8	20200907
acc19	2.6	20200915
acc19	1.2	20200925
acc19	2	20200902
acc19	1.3	20200904
acc19	2.6	20200915
acc19	1	20200918
acc19	3	20200922
acc19	1	20200928
acc19	2.3	20200901
acc19	2	20200905
acc19	9	20200909
acc19	2	20200913
acc19	6	20200917
acc19	14	20200923
acc19	5	20200927
acc19	3.9	20200903
acc19	9	20200909
acc19	3	20200912
acc19	5	20200927
acc19	9	20200909
acc19	6	20200917
acc19	4	20200929
acc19	14	20200923
acc19	10	20200906
acc2	2	20200918
acc21	9	20200901
acc21	9	20200902
acc21	2	20200903
acc21	6	20200905
acc21	2	20200912
acc21	6	20200913
acc21	5	20200914
acc21	9	20200915
acc21	2	20200916
acc21	2	20200917
acc21	1	20200918
acc21	7	20200919
acc21	6	20200920
acc21	4	20200921
acc21	2	20200922
acc21	1	20200923
acc21	1	20200924
acc21	3	20200925
acc21	5	20200926
acc21	1	20200927
acc21	4	20200928
acc21	6	20200929
acc21	4	20200930
acc22	6	20200901
acc22	1	20200902
acc22	3	20200904
acc22	4	20200905
acc22	8	20200906
acc22	4	20200907
acc22	3	20200908
acc22	2	20200909
acc22	4	20200910
acc22	3	20200911
acc22	3	20200912
acc22	1	20200913
acc22	1	20200915
acc22	2	20200917
acc22	5	20200918
acc22	1	20200920
acc22	4	20200921
acc22	1	20200922
acc22	2	20200925
acc22	2	20200926
acc22	1	20200927
acc22	1	20200928
acc22	4	20200929
acc22	1	20200930
acc26	1	20200924
acc26	1	20200930
acc33	1	20200924
acc9	1	20200901
acc9	1	20200905
acc9	1	20200909
acc9	1	20200912
acc9	1	20200923
acc9	1	20200924
acc9	1	20200925
agg0	121	20200910
agg0	201	20200911
agg0	212	20200913
agg0	91	20200915
agg0	86	20200919
agg0	301	20200928
agg0	145	20200902
agg0	25	20200918
agg0	86	20200919
agg0	85	20200929
agg0	10	20200903
agg0	10	20200909
agg0	212	20200913
agg0	91	20200915
agg0	130	20200920
